Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Death Note: Desu nôto,7.7,2006,"A battle between the world's two greatest minds begins when Light Yagami finds the Death Note, a notebook with the power to kill, and decides to rid the world of criminals.","Crime, Drama, Fantasy",Tatsuya Fujiwara Ken'ichi Matsuyama Asaka Seto Yû Kashii
This Is England,7.7,2006,"A young boy becomes friends with a gang of skinheads. Friends soon become like family, and relationships will be pushed to the very limit.","Crime, Drama",Thomas Turgoose Stephen Graham Jo Hartley Andrew Shim
Ex Machina,7.7,2014,A young programmer is selected to participate in a ground-breaking experiment in synthetic intelligence by evaluating the human qualities of a highly advanced humanoid A.I.,"Drama, Sci-Fi, Thriller",Alicia Vikander Domhnall Gleeson Oscar Isaac Sonoya Mizuno
Efter brylluppet,7.7,2006,"A manager of an orphanage in India is sent to Copenhagen, Denmark, where he discovers a life-altering family secret.",Drama,Mads Mikkelsen Sidse Babett Knudsen Rolf Lassgård Neeral Mulchandani
The Last King of Scotland,7.7,2006,Based on the events of the brutal Ugandan dictator Idi Amin's regime as seen by his personal physician during the 1970s.,"Biography, Drama, History",James McAvoy Forest Whitaker Gillian Anderson Kerry Washington
Zodiac,7.7,2007,"In the late 1960s/early 1970s, a San Francisco cartoonist becomes an amateur detective obsessed with tracking down the Zodiac Killer, an unidentified individual who terrorizes Northern California with a killing spree.","Crime, Drama, Mystery",Jake Gyllenhaal Robert Downey Jr. Mark Ruffalo Anthony Edwards
Lucky Number Slevin,7.7,2006,"A case of mistaken identity lands Slevin into the middle of a war being plotted by two of the city's most rival crime bosses. Under constant surveillance by Detective Brikowski and assassin Goodkat, he must get them before they get him.","Action, Crime, Drama",Josh Hartnett Ben Kingsley Morgan Freeman Lucy Liu
Joyeux Noël,7.7,2005,"In December 1914, an unofficial Christmas truce on the Western Front allows soldiers from opposing sides of the First World War to gain insight into each other's way of life.","Drama, History, Music",Diane Kruger Benno Fürmann Guillaume Canet Natalie Dessay
Control,7.7,2007,"A profile of Ian Curtis, the enigmatic singer of Joy Division whose personal, professional, and romantic troubles led him to commit suicide at the age of 23.","Biography, Drama, Music",Sam Riley Samantha Morton Craig Parkinson Alexandra Maria Lara
Tangled,7.7,2010,"The magically long-haired Rapunzel has spent her entire life in a tower, but now that a runaway thief has stumbled upon her, she is about to discover the world for the first time, and who she really is.","Animation, Adventure, Comedy",Byron Howard Mandy Moore Zachary Levi Donna Murphy
Zwartboek,7.7,2006,"In the Nazi-occupied Netherlands during World War II, a Jewish singer infiltrates the regional Gestapo headquarters for the Dutch resistance.","Drama, Thriller, War",Carice van Houten Sebastian Koch Thom Hoffman Halina Reijn
Brokeback Mountain,7.7,2005,"The story of a forbidden and secretive relationship between two cowboys, and their lives over the years.","Drama, Romance",Jake Gyllenhaal Heath Ledger Michelle Williams Randy Quaid
3:10 to Yuma,7.7,2007,A small-time rancher agrees to hold a captured outlaw who's awaiting a train to go to court in Yuma. A battle of wills ensues as the outlaw tries to psych out the rancher.,"Action, Crime, Drama",Russell Crowe Christian Bale Ben Foster Logan Lerman
Crash,7.7,2004,"Los Angeles citizens with vastly separate lives collide in interweaving stories of race, loss and redemption.","Crime, Drama, Thriller",Don Cheadle Sandra Bullock Thandie Newton Karina Arroyave
Kung fu,7.7,2004,"In Shanghai, China in the 1940s, a wannabe gangster aspires to join the notorious ""Axe Gang"" while residents of a housing complex exhibit extraordinary powers in defending their turf.","Action, Comedy, Fantasy",Stephen Chow Wah Yuen Qiu Yuen Siu-Lung Leung
The Bourne Supremacy,7.7,2004,"When Jason Bourne is framed for a CIA operation gone awry, he is forced to resume his former life as a trained assassin to survive.","Action, Mystery, Thriller",Matt Damon Franka Potente Joan Allen Brian Cox
The Machinist,7.7,2004,An industrial worker who hasn't slept in a year begins to doubt his own sanity.,"Drama, Thriller",Christian Bale Jennifer Jason Leigh Aitana Sánchez-Gijón John Sharian
Ray,7.7,2004,"The story of the life and career of the legendary rhythm and blues musician Ray Charles, from his humble beginnings in the South, where he went blind at age seven, to his meteoric rise to stardom during the 1950s and 1960s.","Biography, Drama, Music",Jamie Foxx Regina King Kerry Washington Clifton Powell
Lost in Translation,7.7,2003,A faded movie star and a neglected young woman form an unlikely bond after crossing paths in Tokyo.,"Comedy, Drama",Bill Murray Scarlett Johansson Giovanni Ribisi Anna Faris
Harry Potter and the Goblet of Fire,7.7,2005,"Harry Potter finds himself competing in a hazardous tournament between rival schools of magic, but he is distracted by recurring nightmares.","Adventure, Family, Fantasy",Daniel Radcliffe Emma Watson Rupert Grint Eric Sykes
Man on Fire,7.7,2004,"In Mexico City, a former CIA operative swears vengeance on those who committed an unspeakable act against the family he was hired to protect.","Action, Crime, Drama",Denzel Washington Christopher Walken Dakota Fanning Radha Mitchell
Coraline,7.7,2009,"An adventurous 11-year-old girl finds another world that is a strangely idealized version of her frustrating home, but it has sinister secrets.","Animation, Drama, Family",Dakota Fanning Teri Hatcher John Hodgman Jennifer Saunders
The Last Samurai,7.7,2003,An American military advisor embraces the Samurai culture he was hired to destroy after he is captured in battle.,"Action, Drama",Tom Cruise Ken Watanabe Billy Connolly William Atherton
The Magdalene Sisters,7.7,2002,Three young Irish women struggle to maintain their spirits while they endure dehumanizing abuse as inmates of a Magdalene Sisters Asylum.,Drama,Eileen Walsh Dorothy Duffy Nora-Jane Noone Anne-Marie Duff
Good Bye Lenin!,7.7,2003,"In 1990, to protect his fragile mother from a fatal shock after a long coma, a young man must keep her from learning that her beloved nation of East Germany as she knew it has disappeared.","Comedy, Drama, Romance",Daniel Brühl Katrin Saß Chulpan Khamatova Florian Lukas
In America,7.7,2002,A family of Irish immigrants adjust to life on the mean streets of Hell's Kitchen while also grieving the death of a child.,Drama,Paddy Considine Samantha Morton Djimon Hounsou Sarah Bolger
I Am Sam,7.7,2001,A mentally handicapped man fights for custody of his 7-year-old daughter and in the process teaches his cold-hearted lawyer the value of love and family.,Drama,Sean Penn Michelle Pfeiffer Dakota Fanning Dianne Wiest
Adaptation.,7.7,2002,A lovelorn screenwriter becomes desperate as he tries and fails to adapt 'The Orchid Thief' by Susan Orlean for the screen.,"Comedy, Drama",Nicolas Cage Meryl Streep Chris Cooper Tilda Swinton
Black Hawk Down,7.7,2001,160 elite U.S. soldiers drop into Somalia to capture two top lieutenants of a renegade warlord and find themselves in a desperate battle with a large force of heavily-armed Somalis.,"Drama, History, War",Josh Hartnett Ewan McGregor Tom Sizemore Eric Bana
Road to Perdition,7.7,2002,"A mob enforcer's son witnesses a murder, forcing him and his father to take to the road, and his father down a path of redemption and revenge.","Crime, Drama, Thriller",Tom Hanks Tyler Hoechlin Rob Maxey Liam Aiken
Das Experiment,7.7,2001,"For two weeks, 20 male participants are hired to play prisoners and guards in a prison. The ""prisoners"" have to follow seemingly mild rules, and the ""guards"" are told to retain order without using physical violence.","Drama, Thriller",Moritz Bleibtreu Christian Berkel Oliver Stokowski Wotan Wilke Möhring
Billy Elliot,7.7,2000,A talented young boy becomes torn between his unexpected love of dance and the disintegration of his family.,"Drama, Music",Jamie Bell Julie Walters Jean Heywood Jamie Draven
Hedwig and the Angry Inch,7.7,2001,A gender-queer punk-rock singer from East Berlin tours the U.S. with her band as she tells her life story and follows the former lover/band-mate who stole her songs.,"Comedy, Drama, Music",John Cameron Mitchell Miriam Shor Stephen Trask Theodore Liscinski
Ocean's Eleven,7.7,2001,Danny Ocean and his ten accomplices plan to rob three Las Vegas casinos simultaneously.,"Crime, Thriller",George Clooney Brad Pitt Julia Roberts Matt Damon
Vampire Hunter D: Bloodlust,7.7,2000,"When a girl is abducted by a vampire, a legendary bounty hunter is hired to bring her back.","Animation, Action, Fantasy",Andrew Philpot John Rafter Lee Pamela Adlon Wendee Lee
"O Brother, Where Art Thou?",7.7,2000,"In the deep south during the 1930s, three escaped convicts search for hidden treasure while a relentless lawman pursues them.","Adventure, Comedy, Crime",Ethan Coen George Clooney John Turturro Tim Blake Nelson
Interstate 60: Episodes of the Road,7.7,2002,"Neal Oliver, a very confused young man and an artist, takes a journey of a lifetime on a highway I60 that doesn't exist on any of the maps, going to the places he never even heard of, searching for an answer and his dreamgirl.","Adventure, Comedy, Drama",James Marsden Gary Oldman Kurt Russell Matthew Edison
"South Park: Bigger, Longer & Uncut",7.7,1999,"When Stan Marsh and his friends go see an R-rated movie, they start cursing and their parents think that Canada is to blame.","Animation, Comedy, Fantasy",Trey Parker Matt Stone Mary Kay Bergman Isaac Hayes
Office Space,7.7,1999,Three company workers who hate their jobs decide to rebel against their greedy boss.,Comedy,Ron Livingston Jennifer Aniston David Herman Ajay Naidu
Happiness,7.7,1998,"The lives of several individuals intertwine as they go about their lives in their own unique ways, engaging in acts society as a whole might find disturbing in a desperate search for human connection.","Comedy, Drama",Jane Adams Jon Lovitz Philip Seymour Hoffman Dylan Baker
Training Day,7.7,2001,A rookie cop spends his first day as a Los Angeles narcotics officer with a rogue detective who isn't what he appears to be.,"Crime, Drama, Thriller",Denzel Washington Ethan Hawke Scott Glenn Tom Berenger
Rushmore,7.7,1998,The extracurricular king of Rushmore Preparatory School is put on academic probation.,"Comedy, Drama, Romance",Jason Schwartzman Bill Murray Olivia Williams Seymour Cassel
Abre los ojos,7.7,1997,"A very handsome man finds the love of his life, but he suffers an accident and needs to have his face rebuilt by surgery after it is severely disfigured.","Drama, Mystery, Sci-Fi",Eduardo Noriega Penélope Cruz Chete Lera Fele Martínez
Being John Malkovich,7.7,1999,A puppeteer discovers a portal that leads literally into the head of movie star John Malkovich.,"Comedy, Drama, Fantasy",John Cusack Cameron Diaz Catherine Keener John Malkovich
As Good as It Gets,7.7,1997,"A single mother and waitress, a misanthropic author, and a gay artist form an unlikely friendship after the artist is assaulted in a robbery.","Comedy, Drama, Romance",Jack Nicholson Helen Hunt Greg Kinnear Cuba Gooding Jr.
The Fifth Element,7.7,1997,"In the colorful future, a cab driver unwittingly becomes the central figure in the search for a legendary cosmic weapon to keep Evil and Mr. Zorg at bay.","Action, Adventure, Sci-Fi",Bruce Willis Milla Jovovich Gary Oldman Ian Holm
Le dîner de cons,7.7,1998,"A few friends have a weekly fools' dinner, where each brings a fool along. Pierre finds a champion fool for next dinner. Surprise.",Comedy,Thierry Lhermitte Jacques Villeret Francis Huster Daniel Prévost
Donnie Brasco,7.7,1997,"An FBI undercover agent infiltrates the mob and finds himself identifying more with the mafia life, at the expense of his regular one.","Biography, Crime, Drama",Al Pacino Johnny Depp Michael Madsen Bruno Kirby
Shine,7.7,1996,"Pianist David Helfgott, driven by his father and teachers, has a breakdown. Years later he returns to the piano, to popular if not critical acclaim.","Biography, Drama, Music",Geoffrey Rush Armin Mueller-Stahl Justin Braine Sonia Todd
Primal Fear,7.7,1996,"An altar boy is accused of murdering a priest, and the truth is buried several layers deep.","Crime, Drama, Mystery",Richard Gere Laura Linney Edward Norton John Mahoney
Hamlet,7.7,1996,"Hamlet, Prince of Denmark, returns home to find his father murdered and his mother remarrying the murderer, his uncle. Meanwhile, war is brewing.",Drama,Kenneth Branagh Julie Christie Derek Jacobi Kate Winslet
A Little Princess,7.7,1995,A young girl is relegated to servitude at a boarding school when her father goes missing and is presumed dead.,"Drama, Family, Fantasy",Liesel Matthews Eleanor Bron Liam Cunningham Rusty Schwimmer
Do lok tin si,7.7,1995,"This Hong Kong-set crime drama follows the lives of a hitman, hoping to get out of the business, and his elusive female partner.","Comedy, Crime, Drama",Leon Lai Michelle Reis Takeshi Kaneshiro Charlie Yeung
Il postino,7.7,1994,"A simple Italian postman learns to love poetry while delivering mail to a famous poet, and then uses this to woo local beauty Beatrice.","Biography, Comedy, Drama",Massimo Troisi Massimo Troisi Philippe Noiret Maria Grazia Cucinotta
Clerks,7.7,1994,"A day in the lives of two convenience clerks named Dante and Randal as they annoy customers, discuss movies, and play hockey on the store roof.",Comedy,Brian O'Halloran Jeff Anderson Marilyn Ghigliotti Lisa Spoonauer
Short Cuts,7.7,1993,The day-to-day lives of several suburban Los Angeles residents.,"Comedy, Drama",Andie MacDowell Julianne Moore Tim Robbins Bruce Davison
Philadelphia,7.7,1993,"When a man with HIV is fired by his law firm because of his condition, he hires a homophobic small time lawyer as the only willing advocate for a wrongful dismissal suit.",Drama,Tom Hanks Denzel Washington Roberta Maxwell Buzz Kilman
The Muppet Christmas Carol,7.7,1992,The Muppet characters tell their version of the classic tale of an old and bitter miser's redemption on Christmas Eve.,"Comedy, Drama, Family",Michael Caine Kermit the Frog Dave Goelz Miss Piggy
Malcolm X,7.7,1992,"Biographical epic of the controversial and influential Black Nationalist leader, from his early life and career as a small-time gangster, to his ministry as a member of the Nation of Islam.","Biography, Drama, History",Denzel Washington Angela Bassett Delroy Lindo Spike Lee
The Last of the Mohicans,7.7,1992,Three trappers protect the daughters of a British Colonel in the midst of the French and Indian War.,"Action, Adventure, Drama",Daniel Day-Lewis Madeleine Stowe Russell Means Eric Schweig
Kurenai no buta,7.7,1992,"In 1930s Italy, a veteran World War I pilot is cursed to look like an anthropomorphic pig.","Animation, Adventure, Comedy",Shûichirô Moriyama Tokiko Katô Bunshi Katsura Vi Tsunehiko Kamijô
Glengarry Glen Ross,7.7,1992,An examination of the machinations behind the scenes at a real estate office.,"Crime, Drama, Mystery",Al Pacino Jack Lemmon Alec Baldwin Alan Arkin
A Few Good Men,7.7,1992,Military lawyer Lieutenant Daniel Kaffee defends Marines accused of murder. They contend they were acting under orders.,"Drama, Thriller",Tom Cruise Jack Nicholson Demi Moore Kevin Bacon
Fried Green Tomatoes,7.7,1991,A housewife who is unhappy with her life befriends an old lady in a nursing home and is enthralled by the tales she tells of people she used to know.,Drama,Kathy Bates Jessica Tandy Mary Stuart Masterson Mary-Louise Parker
Barton Fink,7.7,1991,A renowned New York playwright is enticed to California to write for the movies and discovers the hellish truth of Hollywood.,"Comedy, Drama, Thriller",Ethan Coen John Turturro John Goodman Judy Davis
Miller's Crossing,7.7,1990,"Tom Reagan, an advisor to a Prohibition-era crime boss, tries to keep the peace between warring mobs but gets caught in divided loyalties.","Crime, Drama, Thriller",Ethan Coen Gabriel Byrne Albert Finney John Turturro
Who Framed Roger Rabbit,7.7,1988,A toon-hating detective is a cartoon rabbit's only hope to prove his innocence when he is accused of murder.,"Animation, Adventure, Comedy",Bob Hoskins Christopher Lloyd Joanna Cassidy Charles Fleischer
Spoorloos,7.7,1988,"Rex and Saskia, a young couple in love, are on vacation. They stop at a busy service station and Saskia is abducted. After three years and no sign of Saskia, Rex begins receiving letters from the abductor.","Mystery, Thriller",Bernard-Pierre Donnadieu Gene Bervoets Johanna ter Steege Gwen Eckhaus
Withnail & I,7.7,1987,"In 1969, two substance-abusing, unemployed actors retreat to the countryside for a holiday that proves disastrous.","Comedy, Drama",Richard E. Grant Paul McGann Richard Griffiths Ralph Brown
The Last Emperor,7.7,1987,The story of the final Emperor of China.,"Biography, Drama, History",John Lone Joan Chen Peter O'Toole Ruocheng Ying
Empire of the Sun,7.7,1987,A young English boy struggles to survive under Japanese occupation during World War II.,"Action, Drama, History",Christian Bale John Malkovich Miranda Richardson Nigel Havers
Der Name der Rose,7.7,1986,An intellectually nonconformist friar investigates a series of mysterious deaths in an isolated abbey.,"Crime, Drama, Mystery",Sean Connery Christian Slater Helmut Qualtinger Elya Baskin
Blue Velvet,7.7,1986,"The discovery of a severed human ear found in a field leads a young man on an investigation related to a beautiful, mysterious nightclub singer and a group of psychopathic criminals who have kidnapped her child.","Drama, Mystery, Thriller",Isabella Rossellini Kyle MacLachlan Dennis Hopper Laura Dern
The Purple Rose of Cairo,7.7,1985,"In New Jersey in 1935, a movie character walks off the screen and into the real world.","Comedy, Fantasy, Romance",Mia Farrow Jeff Daniels Danny Aiello Irving Metzman
After Hours,7.7,1985,An ordinary word processor has the worst night of his life after he agrees to visit a girl in Soho who he met that evening at a coffee shop.,"Comedy, Crime, Drama",Griffin Dunne Rosanna Arquette Verna Bloom Tommy Chong
Zelig,7.7,1983,"""Documentary"" about a man who can look and act like whoever he's around, and meets various famous people.",Comedy,Woody Allen Mia Farrow Patrick Horgan John Buckwalter
The Verdict,7.7,1982,A lawyer sees the chance to salvage his career and self-respect by taking a medical malpractice case to trial rather than settling.,Drama,Paul Newman Charlotte Rampling Jack Warden James Mason
Star Trek II: The Wrath of Khan,7.7,1982,"With the assistance of the Enterprise crew, Admiral Kirk must stop an old nemesis, Khan Noonien Singh, from using the life-generating Genesis Device as the ultimate weapon.","Action, Adventure, Sci-Fi",William Shatner Leonard Nimoy DeForest Kelley James Doohan
First Blood,7.7,1982,A veteran Green Beret is forced by a cruel Sheriff and his deputies to flee into the mountains and wage an escalating one-man war against his pursuers.,"Action, Adventure",Sylvester Stallone Brian Dennehy Richard Crenna Bill McKinney
Ordinary People,7.7,1980,"The accidental death of the older son of an affluent family deeply strains the relationships among the bitter mother, the good-natured father, and the guilt-ridden younger son.",Drama,Donald Sutherland Mary Tyler Moore Judd Hirsch Timothy Hutton
Airplane!,7.7,1980,A man afraid to fly must ensure that a plane lands safely after the pilots become sick.,Comedy,David Zucker Jerry Zucker Robert Hays Julie Hagerty
Rupan sansei: Kariosutoro no shiro,7.7,1979,"A dashing thief, his gang of desperadoes and an intrepid policeman struggle to free a princess from an evil count's clutches, and learn the hidden secret to a fabulous treasure that she holds part of a key to.","Animation, Adventure, Family",Yasuo Yamada Eiko Masuyama Kiyoshi Kobayashi Makio Inoue
Halloween,7.7,1978,"Fifteen years after murdering his sister on Halloween night 1963, Michael Myers escapes from a mental hospital and returns to the small town of Haddonfield, Illinois to kill again.","Horror, Thriller",Donald Pleasence Jamie Lee Curtis Tony Moran Nancy Kyes
Le locataire,7.7,1976,A bureaucrat rents a Paris apartment where he finds himself drawn into a rabbit hole of dangerous paranoia.,"Drama, Thriller",Roman Polanski Isabelle Adjani Melvyn Douglas Jo Van Fleet
Love and Death,7.7,1975,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.","Comedy, War",Woody Allen Diane Keaton Georges Adet Frank Adu
The Taking of Pelham One Two Three,7.7,1974,"In New York, armed men hijack a subway car and demand a ransom for the passengers. Even if it's paid, how could they get away?","Action, Crime, Thriller",Walter Matthau Robert Shaw Martin Balsam Hector Elizondo
Blazing Saddles,7.7,1974,"In order to ruin a western town, a corrupt politician appoints a black Sheriff, who promptly becomes his most formidable adversary.","Comedy, Western",Cleavon Little Gene Wilder Slim Pickens Harvey Korman
Serpico,7.7,1973,An honest New York cop named Frank Serpico blows the whistle on rampant corruption in the force only to have his comrades turn against him.,"Biography, Crime, Drama",Al Pacino John Randolph Jack Kehoe Biff McGuire
Enter the Dragon,7.7,1973,A secret agent comes to an opium lord's island fortress with other fighters for a martial-arts tournament.,"Action, Crime, Drama",Bruce Lee John Saxon Jim Kelly Ahna Capri
Deliverance,7.7,1972,"Intent on seeing the Cahulawassee River before it's dammed and turned into a lake, outdoor fanatic Lewis Medlock takes his friends on a canoeing trip they'll never forget into the dangerous American back-country.","Adventure, Drama, Thriller",Jon Voight Burt Reynolds Ned Beatty Ronny Cox
The French Connection,7.7,1971,A pair of NYC cops in the Narcotics Bureau stumble onto a drug smuggling job with a French connection.,"Action, Crime, Drama",Gene Hackman Roy Scheider Fernando Rey Tony Lo Bianco
Dirty Harry,7.7,1971,"When a madman calling himself ""the Scorpio Killer"" menaces the city, tough-as-nails San Francisco Police Inspector ""Dirty"" Harry Callahan is assigned to track down and ferret out the crazed psychopath.","Action, Crime, Thriller",Clint Eastwood Andrew Robinson Harry Guardino Reni Santoni
Where Eagles Dare,7.7,1968,"Allied agents stage a daring raid on a castle where the Nazis are holding American brigadier general George Carnaby prisoner, but that's not all that's really going on.","Action, Adventure, War",Richard Burton Clint Eastwood Mary Ure Patrick Wymark
The Odd Couple,7.7,1968,"Two friends try sharing an apartment, but their ideas of housekeeping and lifestyles are as different as night and day.",Comedy,Jack Lemmon Walter Matthau John Fiedler Herb Edelman
The Dirty Dozen,7.7,1967,"During World War II, a rebellious U.S. Army Major is assigned a dozen convicted murderers to train and lead them into a mass assassination mission of German officers.","Action, Adventure, War",Lee Marvin Ernest Borgnine Charles Bronson John Cassavetes
Belle de jour,7.7,1967,A frigid young housewife decides to spend her midweek afternoons as a prostitute.,"Drama, Romance",Catherine Deneuve Jean Sorel Michel Piccoli Geneviève Page
A Man for All Seasons,7.7,1966,"The story of Sir Thomas More, who stood up to King Henry VIII when the King rejected the Roman Catholic Church to obtain a divorce and remarry.","Biography, Drama, History",Paul Scofield Wendy Hiller Robert Shaw Leo McKern
Repulsion,7.7,1965,A sex-repulsed woman who disapproves of her sister's boyfriend sinks into depression and has horrific visions of rape and violence.,"Drama, Horror, Thriller",Catherine Deneuve Ian Hendry John Fraser Yvonne Furneaux
Zulu,7.7,1964,Outnumbered British soldiers do battle with Zulu warriors at Rorke's Drift.,"Drama, History, War",Stanley Baker Jack Hawkins Ulla Jacobsson James Booth
Goldfinger,7.7,1964,"While investigating a gold magnate's smuggling, James Bond uncovers a plot to contaminate the Fort Knox gold reserve.","Action, Adventure, Thriller",Sean Connery Gert Fröbe Honor Blackman Shirley Eaton
The Birds,7.7,1963,A wealthy San Francisco socialite pursues a potential boyfriend to a small Northern California town that slowly takes a turn for the bizarre when birds of all kinds suddenly begin to attack people.,"Drama, Horror, Mystery",Rod Taylor Tippi Hedren Jessica Tandy Suzanne Pleshette
Cape Fear,7.7,1962,A lawyer's family is stalked by a man he once helped put in jail.,"Drama, Thriller",Gregory Peck Robert Mitchum Polly Bergen Lori Martin
Peeping Tom,7.7,1960,"A young man murders women, using a movie camera to film their dying expressions of terror.","Drama, Horror, Thriller",Karlheinz Böhm Anna Massey Moira Shearer Maxine Audley
The Magnificent Seven,7.7,1960,Seven gunfighters are hired by Mexican peasants to liberate their village from oppressive bandits.,"Action, Adventure, Western",Yul Brynner Steve McQueen Charles Bronson Eli Wallach
Les yeux sans visage,7.7,1960,"A surgeon causes an accident which leaves his daughter disfigured, and goes to extremes to give her a new face.","Drama, Horror",Pierre Brasseur Alida Valli Juliette Mayniel Alexandre Rignault
Invasion of the Body Snatchers,7.7,1956,A small-town doctor learns that the population of his community is being replaced by emotionless alien duplicates.,"Drama, Horror, Sci-Fi",Kevin McCarthy Dana Wynter Larry Gates King Donovan
Rebel Without a Cause,7.7,1955,"A rebellious young man with a troubled past comes to a new town, finding friends and enemies.",Drama,James Dean Natalie Wood Sal Mineo Jim Backus
The Ladykillers,7.7,1955,Five oddball criminals planning a bank robbery rent rooms on a cul-de-sac from an octogenarian widow under the pretext that they are classical musicians.,"Comedy, Crime",Alec Guinness Peter Sellers Cecil Parker Herbert Lom
Sabrina,7.7,1954,"A playboy becomes interested in the daughter of his family's chauffeur, but it's his more serious brother who would be the better man for her.","Comedy, Drama, Romance",Humphrey Bogart Audrey Hepburn William Holden Walter Hampden
The Quiet Man,7.7,1952,"A retired American boxer returns to the village of his birth in Ireland, where he falls for a spirited redhead whose brother is contemptuous of their union.","Comedy, Drama, Romance",John Wayne Maureen O'Hara Barry Fitzgerald Ward Bond
The Day the Earth Stood Still,7.7,1951,An alien lands and tells the people of Earth that they must live peacefully or be destroyed as a danger to other planets.,"Drama, Sci-Fi",Michael Rennie Patricia Neal Hugh Marlowe Sam Jaffe
The African Queen,7.7,1951,"In WWI Africa, a gin-swilling riverboat captain is persuaded by a strait-laced missionary to use his boat to attack an enemy warship.","Adventure, Drama, Romance",Humphrey Bogart Katharine Hepburn Robert Morley Peter Bull
Gilda,7.7,1946,A small-time gambler hired to work in a Buenos Aires casino discovers his employer's new wife is his former lover.,"Drama, Film-Noir, Romance",Rita Hayworth Glenn Ford George Macready Joseph Calleia
Fantasia,7.7,1940,A collection of animated interpretations of great works of Western classical music.,"Animation, Family, Fantasy",Samuel Armstrong Ford Beebe Jr. Norman Ferguson David Hand
The Invisible Man,7.7,1933,"A scientist finds a way of becoming invisible, but in doing so, he becomes murderously insane.","Horror, Sci-Fi",Claude Rains Gloria Stuart William Harrigan Henry Travers
Dark Waters,7.6,2019,A corporate defense attorney takes on an environmental lawsuit against a chemical company that exposes a lengthy history of pollution.,"Biography, Drama, History",Mark Ruffalo Anne Hathaway Tim Robbins Bill Pullman
Searching,7.6,2018,"After his teenage daughter goes missing, a desperate father tries to find clues on her laptop.","Drama, Mystery, Thriller",John Cho Debra Messing Joseph Lee Michelle La
Once Upon a Time... in Hollywood,7.6,2019,A faded television actor and his stunt double strive to achieve fame and success in the final years of Hollywood's Golden Age in 1969 Los Angeles.,"Comedy, Drama",Leonardo DiCaprio Brad Pitt Margot Robbie Emile Hirsch
Nelyubov,7.6,2017,A couple going through a divorce must team up to find their son who has disappeared during one of their bitter arguments.,Drama,Maryana Spivak Aleksey Rozin Matvey Novikov Marina Vasileva
The Florida Project,7.6,2017,"Set over one summer, the film follows precocious six-year-old Moonee as she courts mischief and adventure with her ragtag playmates and bonds with her rebellious but caring mother, all while living in the shadows of Walt Disney World.",Drama,Brooklynn Prince Bria Vinaite Willem Dafoe Christopher Rivera
Just Mercy,7.6,2019,World-renowned civil rights defense attorney Bryan Stevenson works to free a wrongly condemned death row prisoner.,"Biography, Crime, Drama",Michael B. Jordan Jamie Foxx Brie Larson Charlie Pye Jr.
Gifted,7.6,2017,"Frank, a single man raising his child prodigy niece Mary, is drawn into a custody battle with his mother.",Drama,Chris Evans Mckenna Grace Lindsay Duncan Octavia Spencer
The Peanut Butter Falcon,7.6,2019,Zak runs away from his care home to make his dream of becoming a wrestler come true.,"Adventure, Comedy, Drama",Michael Schwartz Zack Gottsagen Ann Owens Dakota Johnson
Victoria,7.6,2015,A young Spanish woman who has recently moved to Berlin finds her flirtation with a local guy turn potentially deadly as their night out with his friends reveals a dangerous secret.,"Crime, Drama, Romance",Laia Costa Frederick Lau Franz Rogowski Burak Yigit
Mustang,7.6,2015,"When five orphan girls are seen innocently playing with boys on a beach, their scandalized conservative guardians confine them while forced marriages are arranged.",Drama,Günes Sensoy Doga Zeynep Doguslu Tugba Sunguroglu Elit Iscan
Guardians of the Galaxy Vol. 2,7.6,2017,"The Guardians struggle to keep together as a team while dealing with their personal family issues, notably Star-Lord's encounter with his father the ambitious celestial being Ego.","Action, Adventure, Comedy",Chris Pratt Zoe Saldana Dave Bautista Vin Diesel
Baby Driver,7.6,2017,"After being coerced into working for a crime boss, a young getaway driver finds himself taking part in a heist doomed to fail.","Action, Crime, Drama",Ansel Elgort Jon Bernthal Jon Hamm Eiza González
Only the Brave,7.6,2017,"Based on the true story of the Granite Mountain Hotshots, a group of elite firefighters who risk everything to protect a town from a historic wildfire.","Action, Biography, Drama",Josh Brolin Miles Teller Jeff Bridges Jennifer Connelly
Bridge of Spies,7.6,2015,"During the Cold War, an American lawyer is recruited to defend an arrested Soviet spy in court, and then help the CIA facilitate an exchange of the spy for the Soviet captured American U2 spy plane pilot, Francis Gary Powers.","Drama, History, Thriller",Tom Hanks Mark Rylance Alan Alda Amy Ryan
Incredibles 2,7.6,2018,The Incredibles family takes on a new mission which involves a change in family roles: Bob Parr (Mr. Incredible) must manage the house while his wife Helen (Elastigirl) goes out to save the world.,"Animation, Action, Adventure",Craig T. Nelson Holly Hunter Sarah Vowell Huck Milner
Moana,7.6,2016,"In Ancient Polynesia, when a terrible curse incurred by the Demigod Maui reaches Moana's island, she answers the Ocean's call to seek out the Demigod to set things right.","Animation, Adventure, Comedy",John Musker Don Hall Chris Williams Auli'i Cravalho
Sicario,7.6,2015,An idealistic FBI agent is enlisted by a government task force to aid in the escalating war against drugs at the border area between the U.S. and Mexico.,"Action, Crime, Drama",Emily Blunt Josh Brolin Benicio Del Toro Jon Bernthal
