Series_Title,IMDB_Rating,Released_Year,Overview,Genre,Actors
Rear Window,8.4,1954,A wheelchair-bound photographer spies on his neighbors from his apartment window and becomes convinced one of them has committed murder.,"Mystery, Thriller",James Stewart Grace Kelly Wendell Corey Thelma Ritter
Sunset Blvd.,8.4,1950,A screenwriter develops a dangerous relationship with a faded film star determined to make a triumphant return.,"Drama, Film-Noir",William Holden Gloria Swanson Erich von Stroheim Nancy Olson
The Great Dictator,8.4,1940,Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,"Comedy, Drama, War",Charles Chaplin Paulette Goddard Jack Oakie Reginald Gardiner
1917,8.3,2019,"April 6th, 1917. As a regiment assembles to wage war deep in enemy territory, two soldiers are assigned to race against time and deliver a message that will stop 1,600 men from walking straight into a deadly trap.","Drama, Thriller, War",Dean-Charles Chapman George MacKay Daniel Mays Colin Firth
Tumbbad,8.3,2018,A mythological story about a goddess who created the entire universe. The plot revolves around the consequences when humans build a temple for her first-born.,"Drama, Fantasy, Horror",Anand Gandhi Adesh Prasad Sohum Shah Jyoti Malshe
Andhadhun,8.3,2018,"A series of mysterious events change the life of a blind pianist, who must now report a crime that he should technically know nothing of.","Crime, Drama, Music",Ayushmann Khurrana Tabu Radhika Apte Anil Dhawan
Drishyam,8.3,2013,A man goes to extreme lengths to save his family from punishment after the family commits an accidental crime.,"Crime, Drama, Thriller",Mohanlal Meena Asha Sharath Ansiba
Jagten,8.3,2012,"A teacher lives a lonely life, all the while struggling over his son's custody. His life slowly gets better as he finds love and receives good news from his son, but his new luck is about to be brutally shattered by an innocent little lie.",Drama,Mads Mikkelsen Thomas Bo Larsen Annika Wedderkopp Lasse Fogelstrøm
Jodaeiye Nader az Simin,8.3,2011,A married couple are faced with a difficult decision - to improve the life of their child by moving to another country or to stay in Iran and look after a deteriorating parent who has Alzheimer's disease.,Drama,Payman Maadi Leila Hatami Sareh Bayat Shahab Hosseini
Incendies,8.3,2010,Twins journey to the Middle East to discover their family history and fulfill their mother's last wishes.,"Drama, Mystery, War",Lubna Azabal Mélissa Désormeaux-Poulin Maxim Gaudette Mustafa Kamel
Miracle in cell NO.7,8.3,2019,A story of love between a mentally-ill father who was wrongly accused of murder and his lovely six years old daughter. The prison would be their home. Based on the 2013 Korean movie 7-beon-bang-ui seon-mul (2013).,Drama,Aras Bulut Iynemli Nisa Sofiya Aksongur Deniz Baysal Celile Toyon Uysal
Babam ve Oglum,8.3,2005,The family of a left-wing journalist is torn apart after the military coup of Turkey in 1980.,"Drama, Family",Çetin Tekindor Fikret Kuskan Hümeyra Ege Tanman
Inglourious Basterds,8.3,2009,"In Nazi-occupied France during World War II, a plan to assassinate Nazi leaders by a group of Jewish U.S. soldiers coincides with a theatre owner's vengeful plans for the same.","Adventure, Drama, War",Brad Pitt Diane Kruger Eli Roth Mélanie Laurent
Eternal Sunshine of the Spotless Mind,8.3,2004,"When their relationship turns sour, a couple undergoes a medical procedure to have each other erased from their memories.","Drama, Romance, Sci-Fi",Jim Carrey Kate Winslet Tom Wilkinson Gerry Robert Byrne
Amélie,8.3,2001,"Amélie is an innocent and naive girl in Paris with her own sense of justice. She decides to help those around her and, along the way, discovers love.","Comedy, Romance",Audrey Tautou Mathieu Kassovitz Rufus Lorella Cravotta
Snatch,8.3,2000,"Unscrupulous boxing promoters, violent bookmakers, a Russian gangster, incompetent amateur robbers and supposedly Jewish jewelers fight to track down a priceless stolen diamond.","Comedy, Crime",Jason Statham Brad Pitt Benicio Del Toro Dennis Farina
Requiem for a Dream,8.3,2000,The drug-induced utopias of four Coney Island people are shattered when their addictions run deep.,Drama,Ellen Burstyn Jared Leto Jennifer Connelly Marlon Wayans
American Beauty,8.3,1999,A sexually frustrated suburban father has a mid-life crisis after becoming infatuated with his daughter's best friend.,Drama,Kevin Spacey Annette Bening Thora Birch Wes Bentley
Good Will Hunting,8.3,1997,"Will Hunting, a janitor at M.I.T., has a gift for mathematics, but needs help from a psychologist to find direction in his life.","Drama, Romance",Robin Williams Matt Damon Ben Affleck Stellan Skarsgård
Bacheha-Ye aseman,8.3,1997,"After a boy loses his sister's pair of shoes, he goes on a series of adventures in order to find them. When he can't, he tries a new way to ""win"" a new pair.","Drama, Family, Sport",Mohammad Amir Naji Amir Farrokh Hashemian Bahare Seddiqi Nafise Jafar-Mohammadi
